Date,Elevation (feet),Storage (af),Evaporation (af),Inflow** (cfs),Power Release (cfs),Bypass Release (cfs),Spillway Release (cfs),Total Release (cfs),,
1-May-64, , , , , , , ,1688, , 
1-Jun-64, , , , , , , ,4715, , 
1-Jul-64, , , , , , , ,5669, , 
1-Aug-64, , , , , , , ,2112, , 
1-Sep-64, , , , , , , ,727, , 
1-Oct-64, , ,0, , , , ,360, , 
1-Nov-64, , ,0, , , , ,405, , 
1-Dec-64, , ,0, , , , ,421, , 
1-Jan-65, , ,0, , , , ,462, , 
1-Feb-65, , ,0, , , , ,527, , 
1-Mar-65, , ,0, , , , ,506, , 
1-Apr-65, , ,540, , , , ,500, , 
1-May-65, , ,1085, , , , ,1501, , 
1-Jun-65, , ,2100, , , , ,7294, , 
1-Jul-65, , ,2635, , , , ,6847, , 
1-Aug-65, , ,2325, , , , ,2983, , 
1-Sep-65, , ,1200, , , , ,7893, , 
1-Oct-65,6440,27151,303, , , , ,1195, , 
1-Nov-65,6435.45,18840,182,991, , , ,1128, , 
1-Dec-65,6438.52,24252,185,658, , , ,567, , 
1-Jan-66,6438.24,23725,189,647, , , ,652, , 
1-Feb-66,6438.76,24708,176,554, , , ,533, , 
1-Mar-66,6439.68,26508,210,679, , , ,647, , 
1-Apr-66,6437.91,23112,280,1906, , , ,1958, , 
1-May-66,6440.15,27455,489,2526, , , ,2447, , 
1-Jun-66,6438.4,24024,624,2796, , , ,2843, , 
1-Jul-66,6438.64,24480,649,1365, , , ,1347, , 
1-Aug-66,6438.62,24442,555,871, , , ,863, , 
1-Sep-66,6438.87,24920,452,684, , , ,668, , 
1-Oct-66,6442.21,31788,323,574, , , ,457, , 
1-Nov-66,6445.07,38280,245,569, , , ,456, , 
1-Dec-66,6446,40511,240,455, , , ,415, , 
1-Jan-67,6449.49,49407,256,426, , , ,277, , 
1-Feb-67,6453.39,60318,259,502, , , ,301, , 
1-Mar-67,6456.5,69742,341,673, , , ,514, , 
1-Apr-67,6435.56,19020,356,1051, , , ,1898, , 
1-May-67,6435.88,19548,422,2234, , , ,2219, , 
1-Jun-67,6442.75,32971,580,7699, , , ,7464, , 
1-Jul-67,6433.21,15404,574,6310, , , ,6586, , 
1-Aug-67,6439.77,26688,600,1355, , , ,1162, , 
1-Sep-67,6434.76,17735,388,818, , , ,962, , 
1-Oct-67,6435.18,18403,261,895, , , ,880, , 
1-Nov-67,6435.24,18500,170,750, , , ,745, , 
1-Dec-67,6443.37,34354,196,534, , , ,273, , 
1-Jan-68,6449.64,49808,250,528, , , ,273, , 
1-Feb-68,6455.09,65389,275,538, , , ,263, , 
1-Mar-68,6459.9,80779,354,761, , , ,505, , 
1-Apr-68,6471.72,126561,598,1150, , , ,370, , 
1-May-68,6479.21,162719,1254,1525, , , ,917, , 
1-Jun-68,6495.29,264438,2141,6328, , , ,4582, , 
1-Jul-68,6505.5,341649,2602,2698, , , ,1400, , 
1-Aug-68,6505.5,341649,2344,2243, , , ,2205, , 
1-Sep-68,6500.7,304234,1818,1375, , , ,1973, , 
1-Oct-68,6494.49,258769,1167,1084, , , ,1804, , 
1-Nov-68,6494.5,258838,747,761, , , ,747, , 
1-Dec-68,6495.3,264508,713,564, , , ,460, , 
1-Jan-69,6493.41,251197,708,611, , , ,816, , 
1-Feb-69,6484.31,191608,605,663, , , ,1725, , 
1-Mar-69,6480.74,170974,616,794, , , ,1119, , 
1-Apr-69,6489.23,222737,930,3009, , , ,2124, , 
1-May-69,6501.51,310407,1740,4662, , , ,3208, , 
1-Jun-69,6504.31,332184,2579,4960, , , ,4551, , 
1-Jul-69,6504.45,333292,2705,2341, , , ,2279, , 
1-Aug-69,6502.06,314635,2271,1163, , , ,1429, , 
1-Sep-69,6498.48,287593,1762,673, , , ,1097, , 
1-Oct-69,6493.69,253150,1164,722, , , ,1264, , 
1-Nov-69,6491.89,240689,733,630, , , ,828, , 
1-Dec-69,6489.61,225260,678,453, , , ,693, , 
1-Jan-70,6487.55,211779,653,398, , , ,606, , 
1-Feb-70,6486.47,204916,588,490, , , ,603, , 
1-Mar-70,6482.42,180455,668,561, , , ,948, , 
1-Apr-70,6479.24,162878,791,733, , , ,1015, , 
1-May-70,6484.8,194575,1412,1893, , , ,1355, , 
1-Jun-70,6498.48,287593,2214,5162, , , ,3561, , 
1-Jul-70,6501.31,308879,2584,2469, , , ,2081, , 
1-Aug-70,6496.93,276234,2180,962, , , ,1457, , 
1-Sep-70,6492.76,246680,1642,821, , , ,1290, , 
1-Oct-70,6489.51,224594,1093,636, , , ,978, , 
1-Nov-70,6488.76,219637,701,655, , , ,726, , 
