"WaterYear","GCFlow","LeeFerryFlow"
1905,813268,18214678
1906,747204,21234305
1907,617596,11773952
1908,812945,21841427
1909,940820,14736670
1910,1167389,15125081
1911,899019,19082127
1912,873359,14472192
1913,626891,21066767
1914,947451,14137603
1915,1264153,19187542
1916,1132235,23849259
1917,780886,15750724
1918,851582,12951469
1919,1471428,21927976
1920,1036369,22703070
1921,1371395,18669586
1922,1564214,18343663
1923,1530682,14639094
1924,575076,13410821
1925,605569,16114020
1926,842119,18551860
1927,404453,17577859
1928,691108,21407051
1929,623193,15283505
1930,607466,8631719
1931,1468588,17545522
1932,635877,12130063
1933,575037,6627514
1934,382742,12280022
1935,521446,14485382
1936,895026,14161753
1937,961608,17920064
1938,742043,11718056
1939,842641,9380279
1940,2163507,18319340
1941,1247888,19428259
1942,908857,13624479
1943,928082,15512509
1944,995727,13912713
1945,541907,11062728
1946,945898,15916279
1947,540971,15880189
1948,1084204,16662172
1949,386712,13317921
1950,468655,12485833
1951,1386388,20900043
1952,492987,11204001
1953,496971,8368141
1954,922732,9795470
1955,456043,11505097
1956,939117,20159803
1957,1084089,16899937
1958,396783,9232537
1959,742742,11974847
1960,476540,9247778
1961,367185,17769350
1962,500361,9169052
1963,352697,10355450
1964,1232868,18433671
1965,824145,11139763
1966,992125,11786991
1967,656339,13307287
1968,1137039,14543476
1969,430186,15040894
1970,490095,14867372
1971,427309,12398400
1972,1680126,19270782
1973,527545,12965346
1974,831281,16563786
1975,615031,11199806
1976,257447,5436467
1977,1315842,14892816
1978,1582423,17609785
1979,1863304,17312150
1980,981580,8647971
1981,977012,16718431
1982,2098784,23717778
1983,1609398,24192625
1984,1349974,21040077
1985,607260,22305283
1986,974109,16554700
1987,855556,11638222
1988,628805,9529570
1989,505791,8965072
1990,657122,12326452
1991,1086106,11077477
1992,2396580,18681814
1993,794761,10586458
1994,1520709,19859099
1995,453483,14053130
1996,611196,21184646
1997,1252656,16968570
1998,651244,16451893
1999,173575,10541303
2000,372880,11025453
2001,185203,5869159
2002,335901,10451940
2003,234143,9444490
2004,2117225,17111199
2005,302792,12627668
2006,260033,12565121
2007,588748,16312172
2008,207521,14304034
2009,593604,12330384
2010,1029029,20190370
2011,454348,8433107
2012,547568,8963460
2013,408243,14102738
2014,390371,13443658
2015,109207,1387037
