"","Decade","TenYearReleaseRnd","TenYearDiffRnd","NineYearDiffRnd"
"1","1954 to 1963",NA,NA,NA
"2","1955 to 1964",NA,NA,NA
"3","1956 to 1965",NA,NA,NA
"4","1957 to 1966",NA,NA,NA
"5","1958 to 1967",NA,NA,NA
"6","1959 to 1968",NA,NA,NA
"7","1960 to 1969",NA,NA,NA
"8","1961 to 1970",NA,NA,NA
"9","1962 to 1971",NA,NA,NA
"10","1963 to 1972",NA,NA,-1.6
"11","1964 to 1973",82.6,0.1,6.1
"12","1965 to 1974",88.4,5.9,3.5
"13","1966 to 1975",86.8,4.3,4.9
"14","1967 to 1976",87.4,4.9,5.6
"15","1968 to 1977",87.9,5.4,5.5
"16","1969 to 1978",87.9,5.4,5
"17","1970 to 1979",87.4,4.9,4.7
"18","1971 to 1980",89.6,7.1,7
"19","1972 to 1981",89.3,6.8,5.9
"20","1973 to 1982",88.3,5.8,4.2
"21","1974 to 1983",95.7,13.2,13.4
"22","1975 to 1984",107.9,25.4,24.6
"23","1976 to 1985",117.7,35.2,35.2
"24","1977 to 1986",126.1,43.6,43.8
"25","1978 to 1987",131.2,48.7,48.8
"26","1979 to 1988",131,48.5,48.6
"27","1980 to 1989",130.6,48.1,45.7
"28","1981 to 1990",127.9,45.4,45.6
"29","1982 to 1991",127.8,45.3,45.4
"30","1983 to 1992",127.4,44.9,35.8
"31","1984 to 1993",117.9,35.4,23.5
"32","1985 to 1994",105.8,23.3,12.7
"33","1986 to 1995",96,13.5,5.1
"34","1987 to 1996",90.6,8.1,3.2
"35","1988 to 1997",91.1,8.6,9
"36","1989 to 1998",96.5,14,14.5
"37","1990 to 1999",99.7,17.2,17.5
"38","1991 to 2000",100.9,18.4,18.7
"39","1992 to 2001",101,18.5,19
"40","1993 to 2002",101.3,18.8,19.1
"41","1994 to 2003",101.4,18.9,19.1
"42","1995 to 2004",101.3,18.8,18
"43","1996 to 2005",100.3,17.8,14.8
"44","1997 to 2006",97,14.5,9.1
"45","1998 to 2007",91.4,8.9,3.9
"46","1999 to 2008",86.9,4.4,1.6
"47","2000 to 2009",83.9,1.4,0.6
"48","2001 to 2010",82.9,0.4,0.6
"49","2002 to 2011",87.1,4.6,4.9
"50","2003 to 2012",88.4,5.9,6.1
"51","2004 to 2013",88.4,5.9,6.1
"52","2005 to 2014",87.6,5.1,5.3
"53","2006 to 2015",88.4,5.9,6.1
"54","2007 to 2016",89.1,6.6,6.8
"55","2008 to 2017",89.9,7.4,6.9
"56","2009 to 2018",89.9,7.4,7.7
"57","2010 to 2019",90.7,8.2,8.4
"58","2011 to 2020",90.7,8.2,4.1
