Date,Elevation (feet),Storage (af),Evaporation (af),Inflow** (cfs),Unregulated Inflow*** (cfs),Power Release (cfs),Bypass Release (cfs),Spillway Release (cfs),Total Release (cfs),
11-Mar-63, , , ,4752, , , , , , 
12-Mar-63, , , ,4681, , , , , , 
13-Mar-63, , , ,4646, , , , , , 
14-Mar-63, , ,0,4749, , , , ,1300, 
15-Mar-63, , ,0,4731, , , , ,1260, 
16-Mar-63, , ,0,4794, , , , ,1220, 
17-Mar-63, , ,0,4749, , , , ,1260, 
18-Mar-63, , ,0,4532, , , , ,1210, 
19-Mar-63, , ,0,4595, , , , ,1080, 
20-Mar-63, , ,0,4372, , , , ,1050, 
21-Mar-63, , ,0,4557, , , , ,1060, 
22-Mar-63, , ,0,4502, , , , ,1060, 
23-Mar-63, , ,0,4437, , , , ,1050, 
24-Mar-63, , ,0,4445, , , , ,1050, 
25-Mar-63, , ,0,5075, , , , ,1060, 
26-Mar-63, , ,0,6233, , , , ,1050, 
27-Mar-63, , ,0,7469, , , , ,1050, 
28-Mar-63, , ,0,8035, , , , ,1040, 
29-Mar-63, , ,0,8308, , , , ,1050, 
30-Mar-63, , ,0,9042, , , , ,1030, 
31-Mar-63, , ,0,9743, , , , ,1040, 
1-Apr-63, , ,0,10391, , , , ,1030, 
2-Apr-63, , ,0,11200, , , , ,1030, 
3-Apr-63, , ,0,11124, , , , ,1030, 
4-Apr-63, , ,0,10810, , , , ,1030, 
5-Apr-63, , ,0,10020, , , , ,1040, 
6-Apr-63, , ,0,9192, , , , ,1020, 
7-Apr-63, , ,0,8244, , , , ,1020, 
8-Apr-63, , ,0,7804, , , , ,1030, 
9-Apr-63, , ,0,7383, , , , ,1020, 
10-Apr-63, , ,0,7521, , , , ,1020, 
11-Apr-63, , ,0,7992, , , , ,990, 
12-Apr-63, , ,0,8079, , , , ,990, 
13-Apr-63, , ,0,7946, , , , ,1010, 
14-Apr-63, , ,0,7305, , , , ,1020, 
15-Apr-63, , ,0,6746, , , , ,1020, 
16-Apr-63, , ,0,7679, , , , ,1010, 
17-Apr-63, , ,0,8907, , , , ,980, 
18-Apr-63, , ,0,10258, , , , ,990, 
19-Apr-63, , ,0,10134, , , , ,1010, 
20-Apr-63, , ,0,8735, , , , ,1010, 
21-Apr-63, , ,0,7632, , , , ,1010, 
22-Apr-63, , ,0,6832, , , , ,1020, 
23-Apr-63, , ,0,6081, , , , ,1010, 
24-Apr-63, , ,0,5681, , , , ,1020, 
25-Apr-63, , ,0,5386, , , , ,1020, 
26-Apr-63, , ,0,4920, , , , ,1030, 
27-Apr-63, , ,0,4625, , , , ,1020, 
28-Apr-63, , ,0,4339, , , , ,1020, 
29-Apr-63, , ,0,4452, , , , ,1030, 
30-Apr-63, , ,0,4968, , , , ,1020, 
1-May-63, , ,0,6002, , , , ,1020, 
2-May-63, , ,0,5710, , , , ,1030, 
3-May-63, , ,0,5076, , , , ,1020, 
4-May-63, , ,0,4780, , , , ,1010, 
5-May-63, , ,0,4799, , , , ,1010, 
6-May-63, , ,0,5030, , , , ,1010, 
7-May-63, , ,0,5938, , , , ,1010, 
8-May-63, , ,0,7391, , , , ,1010, 
9-May-63, , ,0,10254, , , , ,1010, 
10-May-63, , ,0,13176, , , , ,1000, 
11-May-63, , ,0,14950, , , , ,1000, 
12-May-63, , ,0,17038, , , , ,1000, 
13-May-63, , ,0,18332, , , , ,1010, 
14-May-63, , ,0,19028, , , , ,1020, 
15-May-63, , ,0,19656, , , , ,1030, 
16-May-63, , ,0,19979, , , , ,1000, 
17-May-63, , ,0,20499, , , , ,1000, 
18-May-63, , ,0,19744, , , , ,1020, 
19-May-63, , ,0,19244, , , , ,1030, 
20-May-63, , ,0,19852, , , , ,1040, 
21-May-63, , ,0,20342, , , , ,1010, 
22-May-63, , ,0,20861, , , , ,1010, 
23-May-63, , ,0,21097, , , , ,1020, 
24-May-63, , ,0,21440, , , , ,1010, 
25-May-63, , ,0,20587, , , , ,1000, 
26-May-63, , ,0,20106, , , , ,1010, 
27-May-63, , ,0,19754, , , , ,1000, 
28-May-63, , ,0,18960, , , , ,1000, 
29-May-63, , ,0,17832, , , , ,1010, 
30-May-63, , ,0,17332, , , , ,980, 
31-May-63, , ,0,17097, , , , ,990, 
1-Jun-63, , ,0,18784, , , , ,1000, 
2-Jun-63, , ,0,18447, , , , ,1010, 
3-Jun-63, , ,0,18100, , , , ,1550, 
4-Jun-63, , ,0,16888, , , , ,2470, 
5-Jun-63, , ,0,16456, , , , ,2500, 
6-Jun-63, , ,0,17099, , , , ,2470, 
7-Jun-63, , ,0,16222, , , , ,2450, 
8-Jun-63, , ,0,15474, , , , ,2450, 
9-Jun-63, , ,0,15076, , , , ,2440, 
10-Jun-63, , ,0,14694, , , , ,2450, 
11-Jun-63, , ,0,15061, , , , ,2470, 
12-Jun-63, , ,0,15031, , , , ,2480, 
13-Jun-63, , ,0,14364, , , , ,2540, 
14-Jun-63, , ,0,12653, , , , ,2550, 
15-Jun-63, , ,0,11694, , , , ,2550, 
16-Jun-63, , ,0,10841, , , , ,2550, 
17-Jun-63, , ,0,11512, , , , ,2520, 
18-Jun-63, , ,0,11991, , , , ,2500, 
19-Jun-63, , ,0,12223, , , , ,2500, 
